"","Contains fear","containes excitement"
"aapl",0.29418683052063,0.70581316947937
"ab",0.130923628807068,0.869076371192932
"abandon",0.623908042907715,0.37609201669693
"abandoned",0.825981259346008,0.174018710851669
"abdication",0.559603095054626,0.440396904945374
"ability",0.0720011219382286,0.927998900413513
"abortion",0.563921570777893,0.436078459024429
"abreast",0.955331265926361,0.044668685644865
"abroad",0.181382060050964,0.818617939949036
"absence",0.697127342224121,0.302872598171234
"absolute",0.134331658482552,0.86566835641861
"absolutely",0.0713928714394569,0.928607165813446
"absorb",0.218641012907028,0.781358957290649
"absorption",0.0941122025251389,0.9058877825737
"abstained",0.843666076660156,0.156333923339844
"abstention",0.24781160056591,0.752188444137573
"abstract",0.1497892588377,0.850210726261139
"abu",0.165332660079002,0.834667325019836
"abundant",0.315509229898453,0.684490740299225
"abuse",0.781535863876343,0.218464136123657
"abused",0.667787730693817,0.332212269306183
"academia",0.195367723703384,0.804632246494293
"academic",0.12512880563736,0.874871253967285
"academy",0.146343946456909,0.853656053543091
"accelerate",0.0192440841346979,0.980755925178528
"accelerated",0.0125838965177536,0.987416088581085
"accelerating",0.0124163283035159,0.987583637237549
"acceleration",0.0135573362931609,0.986442685127258
"accelerator",0.0208536740392447,0.979146301746368
"accenture",0.34831514954567,0.651684820652008
"accept",0.0442779436707497,0.955722093582153
"acceptable",0.424932241439819,0.575067758560181
"acceptance",0.0310483854264021,0.96895158290863
"accepted",0.0515244081616402,0.94847559928894
"accepting",0.0470841377973557,0.952915847301483
"access",0.049887515604496,0.950112521648407
"accessed",0.104568593204021,0.895431399345398
"accessible",0.0726494938135147,0.927350521087646
"accessing",0.0663427114486694,0.933657288551331
"accident",0.195027932524681,0.804972052574158
"accidental",0.355290800333023,0.644709229469299
"acclimatize",0.42999929189682,0.570000648498535
"accompanied",0.0734653547406197,0.926534593105316
"accomplish",0.0945028737187386,0.905497074127197
"accomplishing",0.0393147356808186,0.960685253143311
"account",0.286454796791077,0.713545203208923
"accountability",0.276670068502426,0.723329961299896
"accountable",0.284570872783661,0.715429127216339
"accounted",0.425360083580017,0.574639976024628
"accounting",0.374900847673416,0.625099122524261
"accumulate",0.250636696815491,0.749363303184509
"accuracy",0.551609396934509,0.448390603065491
"accurate",0.0666217282414436,0.933378279209137
"accurately",0.188588127493858,0.81141185760498
"accusation",0.269021421670914,0.730978608131409
"accuse",0.311604112386703,0.688395857810974
"accused",0.673438847064972,0.326561123132706
"accustomed",0.169009625911713,0.830990374088287
"acemoglu",0.295528650283813,0.704471349716187
"achieve",0.016687011346221,0.983313024044037
"achieved",0.0180047415196896,0.981995284557343
"achievement",0.010220205411315,0.989779829978943
"achieving",0.0248000137507915,0.975199937820435
"acknowledge",0.592899978160858,0.407100051641464
"acknowledged",0.477956980466843,0.522042989730835
"acknowledging",0.787425935268402,0.21257409453392
"acknowledgment",0.769979596138,0.230020403862
"acm",0.198186367750168,0.80181360244751
"acquire",0.142275676131248,0.85772430896759
"acquired",0.0453979671001434,0.954602003097534
"acquiring",0.0107248732820153,0.98927515745163
"acquisition",0.0912335962057114,0.908766448497772
"acreage",0.58423262834549,0.415767341852188
"act",0.119774885475636,0.880225121974945
"action",0.0759821161627769,0.924017906188965
"actionable",0.101956427097321,0.898043572902679
"active",0.0312421452254057,0.96875786781311
"actively",0.0518498905003071,0.948150038719177
"activist",0.0616374872624874,0.9383624792099
"activity",0.0229790154844522,0.977020978927612
"actor",0.116776213049889,0.883223831653595
"actual",0.0830210447311401,0.91697895526886
"actualization",0.106403209269047,0.893596768379211
"acute",0.23760724067688,0.76239275932312
"ad",0.14986227452755,0.850137770175934
"adage",0.28489950299263,0.715100526809692
"adam",0.176600441336632,0.823399603366852
"adapt",0.273372411727905,0.726627588272095
"adaptable",0.308681219816208,0.691318809986115
"adapted",0.28327140212059,0.716728568077087
"adapting",0.279382973909378,0.720617055892944
"adaptive",0.29848775267601,0.701512217521667
"add",0.124736808240414,0.875263214111328
"added",0.079553060233593,0.920446932315826
"addendum",0.281446784734726,0.718553245067596
"addiction",0.255671769380569,0.744328200817108
"addictive",0.664540231227875,0.335459798574448
"adding",0.0682541355490685,0.931745886802673
"addition",0.126626044511795,0.873373985290527
"additional",0.162292465567589,0.83770751953125
"additionally",0.0988634899258614,0.901136577129364
"address",0.218920990824699,0.781078994274139
"addressable",0.328028351068497,0.671971619129181
"addressed",0.383906185626984,0.616093814373016
"addressing",0.113924615085125,0.886075377464294
"adele",0.206730782985687,0.793269217014313
"adept",0.266682356595993,0.733317613601685
"adequacy",0.592785894870758,0.407214134931564
"adequately",0.54218727350235,0.457812756299973
"adhere",0.150090783834457,0.849909245967865
"adheres",0.193648412823677,0.806351602077484
"adhering",0.286251753568649,0.713748216629028
"adjunct",0.245942294597626,0.754057705402374
"adjust",0.408632516860962,0.591367483139038
"adjustable",0.388869941234589,0.611130118370056
"adjusted",0.195569857954979,0.804430186748505
"adjustment",0.442312926054001,0.557687044143677
"administration",0.330423206090927,0.669576823711395
"administrative",0.31148374080658,0.688516199588776
"admission",0.162069946527481,0.837930023670197
"admit",0.18961338698864,0.810386538505554
"admitted",0.130900427699089,0.86909955739975
"adobe",0.121927358210087,0.878072679042816
"adolph",0.262213110923767,0.737786948680878
"adopt",0.159820482134819,0.84017950296402
"adopted",0.298607468605042,0.701392531394958
"adopter",0.123992338776588,0.876007616519928
"adopting",0.250656723976135,0.749343276023865
"adoption",0.0808564350008965,0.919143557548523
"adtech",0.128025680780411,0.871974349021912
"adult",0.104889206588268,0.895110845565796
"advance",0.0141196819022298,0.985880315303802
"advanced",0.0417205467820168,0.958279430866241
"advancement",0.00732539920136333,0.992674589157104
"advances",0.0185090638697147,0.981490969657898
"advancing",0.0151485465466976,0.98485141992569
"advantage",0.260056406259537,0.739943563938141
