PrincipalComponent,StDev,VarianceProportion,CumulativeVariance
PC1,26.89386121602048,0.10624,0.10624
PC2,18.108582700182858,0.04817,0.15441
PC3,17.082929073602003,0.04287,0.19727
PC4,16.4276638215643,0.03964,0.23691
PC5,14.89222661511372,0.03258,0.26949
PC6,14.393018973227496,0.03043,0.29992
PC7,14.165333725498687,0.02947,0.32939
PC8,13.388671084005953,0.02633,0.35572
PC9,12.603226946981481,0.02333,0.37905
PC10,12.115691411255408,0.02156,0.40061
PC11,11.668582246102796,0.02,0.42061
PC12,11.487793927179956,0.01938,0.44
PC13,11.373012972275317,0.019,0.459
PC14,11.274032336293835,0.01867,0.47767
PC15,11.088325966479529,0.01806,0.49573
PC16,10.99757623856829,0.01777,0.51349
PC17,10.851744190660353,0.0173,0.53079
PC18,10.643004043476962,0.01664,0.54743
PC19,10.544998444079209,0.01633,0.56376
PC20,10.444231257459716,0.01602,0.57978
PC21,10.31597168150786,0.01563,0.59541
PC22,9.975155282253308,0.01462,0.61003
PC23,9.912142595925323,0.01443,0.62446
PC24,9.71961802853824,0.01388,0.63834
PC25,9.409727791378307,0.01301,0.65134
PC26,9.294843354842431,0.01269,0.66403
PC27,9.197549782304435,0.01243,0.67646
PC28,9.089995378513642,0.01214,0.6886
PC29,8.917218307896292,0.01168,0.70028
PC30,8.810963403869282,0.0114,0.71168
PC31,8.716002439903306,0.01116,0.72284
PC32,8.59227355728537,0.01084,0.73368
PC33,8.505831010713912,0.01063,0.74431
PC34,8.320464083855908,0.01017,0.75448
PC35,8.14370260235397,0.00974,0.76422
PC36,8.071770230635716,0.00957,0.77379
PC37,8.001747440991943,0.0094,0.7832
PC38,7.950959653040025,0.00929,0.79248
PC39,7.868434178554945,0.00909,0.80158
PC40,7.834383265340152,0.00902,0.81059
PC41,7.745914899045438,0.00881,0.8194
PC42,7.721903079239831,0.00876,0.82816
PC43,7.555543727067783,0.00839,0.83655
