word,mean_afinn,total_sum_afinn,mean_bing,total_sum_bing
abuse,-3,-12,-1,-4
abused,-3,-6,-1,-2
accomplish,2,4,1,2
accomplished,2,4,1,2
advanced,1,31,1,31
advantage,2,14,1,7
advantages,2,8,1,4
affection,3,6,1,2
afraid,-2,-2,-1,-1
aggressive,-2,-8,-1,-4
alarm,-2,-10,-1,-5
amazed,2,2,1,1
amazing,4,20,1,5
ambitious,2,4,1,2
anger,-3,-3,-1,-1
anxiety,-2,-6,-1,-3
anxious,-2,-12,-1,-6
appreciated,2,4,1,2
approval,2,12,1,6
astounded,3,3,1,1
attack,-1,-9,-1,-9
awarded,3,3,1,1
bad,-3,-27,-1,-9
benefit,2,82,1,41
bias,-1,-16,-1,-16
biased,-2,-12,-1,-6
blame,-2,-2,-1,-1
blessing,3,3,1,1
blockbuster,3,3,1,1
bomb,-1,-3,-1,-3
boost,1,3,1,3
breakthrough,3,27,1,9
bright,1,1,1,1
brilliant,4,20,1,5
broken,-1,-2,-1,-2
cancer,-1,-12,-1,-12
capable,1,12,1,12
catastrophic,-4,-4,-1,-1
cheat,-3,-9,-1,-3
cheater,-3,-6,-1,-2
clarity,2,2,1,1
clean,2,4,1,2
cleaner,2,4,1,2
clever,2,2,1,1
comfort,2,2,1,1
comfortable,2,16,1,8
commitment,2,10,1,5
compassionate,2,2,1,1
competitive,2,36,1,18
comprehensive,2,30,1,15
condemn,-2,-2,-1,-1
condemned,-2,-2,-1,-1
confidence,2,12,1,6
confident,2,2,1,1
conflict,-2,-18,-1,-9
confusing,-2,-4,-1,-2
congratulation,2,4,1,2
conspiracy,-3,-3,-1,-1
contagious,-1,-1,-1,-1
controversial,-2,-8,-1,-4
crash,-2,-6,-1,-3
creative,2,14,1,7
crisis,-3,-12,-1,-4
critic,-2,-6,-1,-3
criticism,-2,-4,-1,-2
cry,-1,-2,-1,-2
damage,-3,-9,-1,-3
danger,-2,-62,-1,-31
dead,-3,-3,-1,-1
death,-2,-8,-1,-4
debt,-2,-2,-1,-1
dedicated,2,32,1,16
defender,2,2,1,1
delayed,-1,-2,-1,-2
depressing,-2,-2,-1,-1
despair,-3,-3,-1,-1
desperately,-3,-3,-1,-1
destroy,-3,-3,-1,-1
destruction,-3,-15,-1,-5
destructive,-3,-3,-1,-1
devastating,-2,-2,-1,-1
died,-3,-3,-1,-1
difficult,-1,-16,-1,-16
dilemma,-1,-1,-1,-1
disappointed,-2,-4,-1,-2
dispute,-2,-8,-1,-4
disruption,-2,-22,-1,-11
disruptive,-2,-16,-1,-8
distract,-2,-4,-1,-2
doubt,-1,-8,-1,-8
drag,-1,-3,-1,-3
eager,2,2,1,1
ease,2,4,1,2
