PrincipalComponent,StDev,VarianceProportion,CumulativeVariance
PC1,19.76796691448722,0.0447,0.0447
PC2,19.06450526291392,0.04158,0.08628
PC3,17.776237912519253,0.03615,0.12242
PC4,17.60134269139353,0.03544,0.15786
PC5,16.581892182710156,0.03145,0.18931
PC6,15.054641150250747,0.02593,0.21524
PC7,14.67169784162795,0.02462,0.23986
PC8,14.313337644205516,0.02344,0.2633
PC9,13.759999129391918,0.02166,0.28496
PC10,13.717035233293922,0.02152,0.30648
PC11,13.242188995278617,0.02006,0.32654
PC12,13.07910217686897,0.01957,0.34611
PC13,12.98669752160791,0.01929,0.3654
PC14,12.895901791064206,0.01902,0.38442
PC15,12.879297439982006,0.01897,0.4034
PC16,12.577954697576217,0.0181,0.4215
PC17,12.529103271425104,0.01796,0.43945
PC18,12.214236655506244,0.01707,0.45652
PC19,12.136873389237016,0.01685,0.47337
PC20,11.979353037944753,0.01642,0.48978
PC21,11.773696243582885,0.01586,0.50564
PC22,11.196159813509691,0.01434,0.51998
PC23,11.174802369210173,0.01428,0.53426
PC24,11.111852373300321,0.01412,0.54839
PC25,11.06722359693628,0.01401,0.5624
PC26,10.922454947761581,0.01365,0.57605
PC27,10.749672023467944,0.01322,0.58926
PC28,10.641700235906349,0.01295,0.60222
PC29,10.487892380418804,0.01258,0.6148
PC30,10.327093391707994,0.0122,0.627
PC31,10.251840950523075,0.01202,0.63902
PC32,10.184568977859904,0.01187,0.65089
PC33,10.046646232112959,0.01155,0.66243
PC34,10.023774489654313,0.01149,0.67393
PC35,9.975590912041316,0.01138,0.68531
PC36,9.536633809144258,0.0104,0.69571
PC37,9.512320069053718,0.01035,0.70607
PC38,9.414388121047553,0.01014,0.7162
PC39,9.270849680904144,0.00983,0.72604
PC40,9.074939820664275,0.00942,0.73546
PC41,8.773941669706426,0.00881,0.74426
PC42,8.732239421936054,0.00872,0.75298
PC43,8.679759037743903,0.00862,0.7616
