word,mean_afinn,total_sum_afinn,mean_bing,total_sum_bing
abuse,-3,-6,-1,-2
abused,-3,-3,-1,-1
accidental,-2,-4,-1,-2
accomplish,2,6,1,3
accusation,-2,-4,-1,-2
accuse,-2,-2,-1,-1
advanced,1,32,1,32
advantage,2,22,1,11
advantages,2,16,1,8
afraid,-2,-6,-1,-3
aggression,-2,-2,-1,-1
aggressive,-2,-12,-1,-6
alarm,-2,-6,-1,-3
alarmed,-2,-4,-1,-2
amazed,2,4,1,2
amazing,4,16,1,4
ambitious,2,6,1,3
anger,-3,-6,-1,-2
angry,-3,-6,-1,-2
anxiety,-2,-8,-1,-4
anxious,-2,-6,-1,-3
apocalyptic,-2,-2,-1,-1
approval,2,12,1,6
astounding,3,3,1,1
attack,-1,-30,-1,-30
attraction,2,2,1,1
audacious,3,3,-1,-1
award,3,18,1,6
awarded,3,6,1,2
awesome,4,4,1,1
awkward,-2,-4,-1,-2
bad,-3,-78,-1,-26
beautiful,3,9,1,3
benefit,2,100,1,50
bias,-1,-16,-1,-16
biased,-2,-10,-1,-5
bizarre,-2,-2,-1,-1
blame,-2,-8,-1,-4
bless,2,2,1,1
blithe,2,2,1,1
blurry,-2,-2,-1,-1
bomb,-1,-4,-1,-4
boost,1,15,1,15
bore,-2,-2,-1,-1
boring,-3,-6,-1,-2
bother,-2,-2,-1,-1
brave,2,2,1,1
breakthrough,3,30,1,10
bright,1,3,1,3
brilliant,4,4,1,1
broke,-1,-3,-1,-3
broken,-1,-1,-1,-1
bully,-2,-2,-1,-1
burden,-2,-8,-1,-4
cancer,-1,-10,-1,-10
capable,1,18,1,18
catastrophe,-3,-18,-1,-6
catastrophic,-4,-12,-1,-3
celebrated,3,6,1,2
chaotic,-2,-2,-1,-1
charming,3,6,1,2
cheat,-3,-3,-1,-1
cheer,2,4,1,2
clarity,2,4,1,2
clash,-2,-4,-1,-2
clean,2,6,1,3
cleaner,2,2,1,1
clever,2,8,1,4
clueless,-2,-2,-1,-1
collapse,-2,-2,-1,-1
comfort,2,6,1,3
comfortable,2,2,1,1
commitment,2,12,1,6
compassionate,2,2,1,1
competitive,2,18,1,9
comprehensive,2,12,1,6
confidence,2,16,1,8
confident,2,8,1,4
conflict,-2,-16,-1,-8
conflicting,-2,-2,-1,-1
confusing,-2,-4,-1,-2
contend,-1,-3,-1,-3
controversial,-2,-2,-1,-1
cool,1,2,1,2
costly,-2,-8,-1,-4
courage,2,2,1,1
crash,-2,-16,-1,-8
crazy,-2,-4,-1,-2
creative,2,30,1,15
crime,-3,-3,-1,-1
criminal,-3,-18,-1,-6
crisis,-3,-60,-1,-20
critic,-2,-8,-1,-4
criticism,-2,-6,-1,-3
criticized,-2,-6,-1,-3
crushed,-2,-14,-1,-7
cry,-1,-1,-1,-1
damage,-3,-3,-1,-1
damages,-3,-3,-1,-1
danger,-2,-34,-1,-17
dead,-3,-9,-1,-3
death,-2,-20,-1,-10
debt,-2,-32,-1,-16
deception,-3,-3,-1,-1
dedicated,2,24,1,12
defender,2,2,1,1
delay,-1,-3,-1,-3
delayed,-1,-18,-1,-18
denied,-2,-6,-1,-3
deny,-2,-8,-1,-4
denying,-2,-2,-1,-1
despairing,-3,-3,-1,-1
desperate,-3,-3,-1,-1
destroy,-3,-9,-1,-3
destruction,-3,-15,-1,-5
devastating,-2,-4,-1,-2
dick,-4,-4,-1,-1
die,-3,-3,-1,-1
died,-3,-3,-1,-1
difficult,-1,-16,-1,-16
dire,-3,-6,-1,-2
disappointed,-2,-2,-1,-1
disaster,-2,-22,-1,-11
discord,-2,-6,-1,-3
dishonest,-2,-2,-1,-1
disillusioned,-2,-2,-1,-1
disorder,-2,-2,-1,-1
dispute,-2,-2,-1,-1
disputed,-2,-4,-1,-2
disruption,-2,-22,-1,-11
disruptive,-2,-8,-1,-4
distort,-2,-2,-1,-1
distressing,-2,-2,-1,-1
distrust,-3,-6,-1,-2
distrustful,-3,-3,-1,-1
disturbed,-2,-2,-1,-1
doubt,-1,-2,-1,-2
downside,-2,-4,-1,-2
dread,-2,-2,-1,-1
dubious,-2,-2,-1,-1
dull,-2,-2,-1,-1
ease,2,2,1,1
easy,1,13,1,13
effective,2,36,1,18
effectively,2,16,1,8
emergency,-2,-10,-1,-5
encourage,2,4,1,2
encouragement,2,2,1,1
endorsed,2,10,1,5
enemy,-2,-2,-1,-1
enjoy,2,6,1,3
enjoying,2,4,1,2
entertaining,2,2,1,1
enthusiastic,3,6,1,2
erroneous,-2,-2,-1,-1
error,-2,-40,-1,-20
ethical,2,22,1,11
euphoria,3,3,1,1
evil,-3,-9,-1,-3
excellent,3,9,1,3
excited,3,24,1,8
excitement,3,9,1,3
exciting,3,39,1,13
exclusion,-1,-1,-1,-1
excuse,-1,-3,-1,-3
exploit,-2,-2,-1,-1
fail,-2,-6,-1,-3
failed,-2,-24,-1,-12
failing,-2,-4,-1,-2
failure,-2,-6,-1,-3
failures,-2,-8,-1,-4
fair,2,10,1,5
faith,1,1,1,1
fake,-3,-63,-1,-21
falling,-1,-2,-1,-2
falsify,-3,-3,-1,-1
fame,1,1,1,1
fantastic,4,8,1,2
favor,2,6,1,3
favorite,2,4,1,2
fear,-2,-44,-1,-22
fearful,-2,-4,-1,-2
fine,2,28,1,14
fool,-2,-72,-1,-36
fraud,-4,-84,-1,-21
fraudulent,-4,-8,-1,-2
free,1,52,1,52
freedom,2,34,1,17
frenzy,-3,-3,-1,-1
fresh,1,5,1,5
friendly,2,6,1,3
frustrated,-2,-2,-1,-1
frustrating,-2,-2,-1,-1
frustration,-2,-2,-1,-1
fun,4,20,1,5
funny,4,4,-1,-1
futile,2,2,-1,-1
gain,2,34,1,17
gaining,2,4,1,2
generous,2,2,1,1
gloomy,-2,-2,-1,-1
grace,1,1,1,1
grand,3,3,1,1
greed,-3,-6,-1,-2
greedy,-2,-4,-1,-2
guarantee,1,3,1,3
guilty,-3,-6,-1,-2
happy,3,9,1,3
hard,-1,-11,-1,-11
hardship,-2,-6,-1,-3
harm,-2,-16,-1,-8
harmed,-2,-2,-1,-1
harmful,-2,-28,-1,-14
hate,-3,-9,-1,-3
haunting,1,2,-1,-2
havoc,-2,-2,-1,-1
healthy,2,6,1,3
helpful,2,8,1,4
helping,2,24,1,12
hero,2,2,1,1
honor,2,4,1,2
hopeful,2,2,1,1
horrible,-3,-3,-1,-1
hurt,-2,-2,-1,-1
hurting,-2,-4,-1,-2
hysteria,-3,-6,-1,-2
ignorant,-2,-2,-1,-1
ignore,-1,-3,-1,-3
illegal,-3,-6,-1,-2
illness,-2,-2,-1,-1
imperfect,-2,-2,-1,-1
impose,-1,-1,-1,-1
imposing,-1,-2,-1,-2
impressed,3,18,1,6
impressive,3,15,1,5
improve,2,76,1,38
improved,2,16,1,8
improvement,2,26,1,13
improves,2,4,1,2
improving,2,16,1,8
incompetence,-2,-2,-1,-1
inconvenience,-2,-2,-1,-1
indifferent,-2,-2,-1,-1
infected,-2,-4,-1,-2
influential,2,2,1,1
infringement,-2,-2,-1,-1
injury,-2,-6,-1,-3
innovation,1,40,1,40
innovative,2,22,1,11
insane,-2,-2,-1,-1
inspiration,2,4,1,2
inspire,2,4,1,2
intelligent,2,24,1,12
intense,1,2,-1,-2
intimidate,-2,-2,-1,-1
intricate,2,2,1,1
joke,2,10,-1,-5
joy,3,3,1,1
kill,-3,-21,-1,-7
killed,-3,-12,-1,-4
killing,-3,-18,-1,-6
lack,-2,-40,-1,-20
lag,-1,-1,-1,-1
lied,-2,-4,-1,-2
likes,2,4,1,2
limitation,-1,-6,-1,-6
limited,-1,-8,-1,-8
loose,-3,-9,-1,-3
loser,-3,-9,-1,-3
losing,-3,-18,-1,-6
loss,-3,-48,-1,-16
lost,-3,-15,-1,-5
love,3,12,1,4
loved,3,6,1,2
lurking,-1,-1,-1,-1
madness,-3,-3,-1,-1
manipulation,-1,-1,-1,-1
mature,2,8,1,4
meaningful,2,8,1,4
misleading,-3,-9,-1,-3
misrepresentation,-2,-2,-1,-1
missed,-2,-10,-1,-5
mistake,-2,-10,-1,-5
